land_size_m2,building_size_m2,bedrooms,bathrooms,city,price_in_rp
239.0,272.0,4.0,4.0, Bekasi,2990000000.0
55.0,69.0,3.0,2.0, Bekasi,1270000000.0
119.0,131.0,3.0,3.0, Bekasi,1950000000.0
180.0,174.0,3.0,3.0, Bekasi,3300000000.0
328.0,196.0,4.0,3.0, Bekasi,4500000000.0
136.0,200.0,3.0,3.0, Bekasi,2700000000.0
144.0,144.0,2.0,2.0, Bekasi,2350000000.0
216.0,250.0,4.0,4.0, Bekasi,4500000000.0
136.0,200.0,3.0,3.0, Bekasi,2700000000.0
144.0,186.0,3.0,2.0, Bekasi,2550000000.0
55.0,50.0,2.0,2.0, Bekasi,952000000.0
119.0,82.0,2.0,1.0, Bekasi,1800000000.0
144.0,149.0,3.0,3.0, Bekasi,2350000000.0
144.0,200.0,3.0,3.0, Bekasi,2500000000.0
193.0,136.0,3.0,3.0, Bekasi,2700000000.0
192.0,370.0,5.0,4.0, Bekasi,5360000000.0
55.0,50.0,2.0,2.0, Bekasi,952000000.0
119.0,150.0,4.0,3.0, Bekasi,2250000000.0
119.0,150.0,3.0,2.0, Bekasi,2250000000.0
144.0,150.0,3.0,3.0, Bekasi,2450000000.0
110.0,110.0,3.0,1.0, Bekasi,125000000.0
119.0,98.0,2.0,2.0, Bekasi,1980000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
119.0,140.0,3.0,2.0, Bekasi,2350000000.0
144.0,186.0,3.0,2.0, Bekasi,2550000000.0
55.0,30.0,2.0,1.0, Bekasi,480000000.0
91.0,120.0,2.0,3.0, Bekasi,1900000000.0
60.0,36.0,2.0,1.0, Bekasi,300000000.0
192.0,307.0,4.0,3.0, Bekasi,5270000000.0
150.0,200.0,4.0,3.0, Bekasi,2800000000.0
135.0,149.0,4.0,4.0, Bekasi,2710000000.0
72.0,42.0,3.0,1.0, Bekasi,500000000.0
60.0,37.0,3.0,1.0, Bekasi,439000000.0
92.0,82.0,3.0,2.0, Bekasi,800000000.0
200.0,125.0,3.0,2.0, Bekasi,850000000.0
90.0,146.0,3.0,2.0, Bekasi,700000000.0
348.0,430.0,5.0,4.0, Bekasi,4950000000.0
84.0,105.0,4.0,4.0, Bekasi,1300000000.0
120.0,90.0,3.0,2.0, Bekasi,1200000000.0
160.0,296.0,5.0,4.0, Bekasi,2650000000.0
84.0,105.0,4.0,4.0, Bekasi,1300000000.0
84.0,105.0,4.0,4.0, Bekasi,1300000000.0
84.0,105.0,4.0,3.0, Bekasi,1300000000.0
90.0,65.0,2.0,1.0, Bekasi,425000000.0
70.0,40.0,2.0,1.0, Bekasi,280000000.0
127.0,190.0,6.0,2.0, Bekasi,999000000.0
400.0,398.0,5.0,4.0, Bekasi,5750000000.0
100.0,136.0,3.0,2.0, Bekasi,1500000000.0
700.0,1400.0,8.0,9.0, Bekasi,6800000000.0
250.0,400.0,4.0,5.0, Bekasi,3000000000.0
60.0,19.0,2.0,1.0, Bekasi,168000000.0
90.0,80.0,3.0,1.0, Bekasi,870000000.0
86.0,45.0,2.0,1.0, Bekasi,495000000.0
60.0,36.0,2.0,1.0, Bekasi,275000000.0
70.0,70.0,2.0,2.0, Bekasi,300000000.0
55.0,60.0,2.0,2.0, Bekasi,1440000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
86.0,45.0,2.0,1.0, Bekasi,495000000.0
100.0,136.0,4.0,3.0, Bekasi,1500000000.0
60.0,36.0,2.0,1.0, Bekasi,300000000.0
60.0,36.0,2.0,1.0, Bekasi,365000000.0
60.0,38.0,2.0,1.0, Bekasi,350000000.0
60.0,38.0,2.0,1.0, Bekasi,351000000.0
60.0,36.0,2.0,1.0, Bekasi,393000000.0
72.0,36.0,2.0,1.0, Bekasi,392000000.0
66.0,36.0,2.0,1.0, Bekasi,440000000.0
60.0,38.0,2.0,1.0, Bekasi,351000000.0
66.0,38.0,2.0,1.0, Bekasi,401000000.0
160.0,216.0,4.0,4.0, Bekasi,1990000000.0
126.0,126.0,3.0,2.0, Bekasi,1150000000.0
376.0,700.0,5.0,4.0, Bekasi,3200000000.0
66.0,87.0,3.0,2.0, Bekasi,950000000.0
126.0,80.0,2.0,2.0, Bekasi,1500000000.0
84.0,56.0,2.0,2.0, Bekasi,1250000000.0
152.0,200.0,5.0,3.0, Bekasi,1200000000.0
376.0,700.0,5.0,5.0, Bekasi,3200000000.0
90.0,60.0,2.0,1.0, Bekasi,850000000.0
139.0,120.0,3.0,2.0, Bekasi,1280000000.0
58.0,90.0,3.0,3.0, Bekasi,895000000.0
131.0,225.0,4.0,3.0, Bekasi,1450000000.0
126.0,90.0,2.0,1.0, Bekasi,1300000000.0
90.0,60.0,2.0,2.0, Bekasi,690000000.0
90.0,120.0,2.0,1.0, Bekasi,950000000.0
90.0,160.0,4.0,3.0, Bekasi,1350000000.0
138.0,120.0,3.0,2.0, Bekasi,1000000000.0
160.0,216.0,3.0,3.0, Bekasi,2850000000.0
78.0,52.0,3.0,2.0, Bekasi,1150000000.0
36.0,63.0,2.0,1.0, Bekasi,342000000.0
36.0,60.0,2.0,1.0, Bekasi,327000000.0
90.0,70.0,2.0,1.0, Bekasi,975000000.0
90.0,70.0,3.0,2.0, Bekasi,975000000.0
105.0,100.0,4.0,3.0, Bekasi,1370000000.0
